      No    Time           Source                   Destination           Protocol Length   Info
     43 24.058784672   Cisco_d4:1c:04        Spanning-tree-(for-bridges)_00 STP      60     Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004
     44 25.020459368   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=13/3328, ttl=64 (reply in 45)
     45 25.020589969   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=13/3328, ttl=64 (request in 44)
     46 25.674095339   Cisco_d4:1c:04        Cisco_d4:1c:04        LOOP     60     Reply
     47 26.044460686   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=14/3584, ttl=64 (reply in 48)
     48 26.044597642   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=14/3584, ttl=64 (request in 47)
     49 26.063569590   Cisco_d4:1c:04        Spanning-tree-(for-bridges)_00 STP      60     Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004
     50 27.068460119   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=15/3840, ttl=64 (reply in 51)
     51 27.068623614   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=15/3840, ttl=64 (request in 50)
     52 28.068471770   Cisco_d4:1c:04        Spanning-tree-(for-bridges)_00 STP      60     Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004
     53 28.092458853   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=16/4096, ttl=64 (reply in 54)
     54 28.092588197   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=16/4096, ttl=64 (request in 53)
     55 29.116464990   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=17/4352, ttl=64 (reply in 56)
     56 29.116598943   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=17/4352, ttl=64 (request in 55)
