      No    Time           Source                   Destination           Protocol Length   Info
    191 57.756463110   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=45/11520, ttl=64 (reply in 192)
    192 57.756598110   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=45/11520, ttl=64 (request in 191)
    193 58.108463209   172.16.40.1           172.16.41.1           ICMP     98     Echo (ping) request  id=0x5f15, seq=8/2048, ttl=64 (reply in 194)
    194 58.108701852   172.16.41.1           172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f15, seq=8/2048, ttl=63 (request in 193)
    195 58.141925546   Cisco_d4:1c:04        Spanning-tree-(for-bridges)_00 STP      60     Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004
    196 58.172442733   172.16.40.1           172.16.41.253         ICMP     98     Echo (ping) request  id=0x5f03, seq=23/5888, ttl=64 (reply in 197)
    197 58.172565860   172.16.41.253         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f03, seq=23/5888, ttl=64 (request in 196)
    198 58.780454371   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=46/11776, ttl=64 (reply in 199)
    199 58.780589581   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=46/11776, ttl=64 (request in 198)
    200 59.132442598   172.16.40.1           172.16.41.1           ICMP     98     Echo (ping) request  id=0x5f15, seq=9/2304, ttl=64 (reply in 201)
    201 59.132702053   172.16.41.1           172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f15, seq=9/2304, ttl=63 (request in 200)
    202 59.196435810   172.16.40.1           172.16.41.253         ICMP     98     Echo (ping) request  id=0x5f03, seq=24/6144, ttl=64 (reply in 203)
    203 59.196559496   172.16.41.253         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f03, seq=24/6144, ttl=64 (request in 202)
    204 59.804461556   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=47/12032, ttl=64 (reply in 205)
    205 59.804594321   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=47/12032, ttl=64 (request in 204)
    206 60.146889534   Cisco_d4:1c:04        Spanning-tree-(for-bridges)_00 STP      60     Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004
    207 60.156456487   172.16.40.1           172.16.41.1           ICMP     98     Echo (ping) request  id=0x5f15, seq=10/2560, ttl=64 (reply in 208)
    208 60.156688286   172.16.41.1           172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f15, seq=10/2560, ttl=63 (request in 207)
    209 60.220445159   172.16.40.1           172.16.41.253         ICMP     98     Echo (ping) request  id=0x5f03, seq=25/6400, ttl=64 (reply in 210)
    210 60.220570662   172.16.41.253         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f03, seq=25/6400, ttl=64 (request in 209)
    211 60.828461128   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=48/12288, ttl=64 (reply in 212)
    212 60.828594592   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=48/12288, ttl=64 (request in 211)
    213 61.180439996   172.16.40.1           172.16.41.1           ICMP     98     Echo (ping) request  id=0x5f15, seq=11/2816, ttl=64 (reply in 214)
    214 61.180671306   172.16.41.1           172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f15, seq=11/2816, ttl=63 (request in 213)
    215 61.244442008   172.16.40.1           172.16.41.253         ICMP     98     Echo (ping) request  id=0x5f03, seq=26/6656, ttl=64 (reply in 216)
    216 61.244565205   172.16.41.253         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f03, seq=26/6656, ttl=64 (request in 215)
    217 61.852465240   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=49/12544, ttl=64 (reply in 218)
    218 61.852629363   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=49/12544, ttl=64 (request in 217)
    219 62.151609711   Cisco_d4:1c:04        Spanning-tree-(for-bridges)_00 STP      60     Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004
    220 62.204443549   172.16.40.1           172.16.41.1           ICMP     98     Echo (ping) request  id=0x5f15, seq=12/3072, ttl=64 (reply in 221)
    221 62.204684287   172.16.41.1           172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f15, seq=12/3072, ttl=63 (request in 220)
    222 62.268451358   172.16.40.1           172.16.41.253         ICMP     98     Echo (ping) request  id=0x5f03, seq=27/6912, ttl=64 (reply in 223)
    223 62.268579444   172.16.41.253         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f03, seq=27/6912, ttl=64 (request in 222)
    224 62.876456990   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=50/12800, ttl=64 (reply in 225)
    225 62.876591362   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=50/12800, ttl=64 (request in 224)
    226 63.228439350   172.16.40.1           172.16.41.1           ICMP     98     Echo (ping) request  id=0x5f15, seq=13/3328, ttl=64 (reply in 227)
    227 63.228669752   172.16.41.1           172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f15, seq=13/3328, ttl=63 (request in 226)
    228 63.292440733   172.16.40.1           172.16.41.253         ICMP     98     Echo (ping) request  id=0x5f03, seq=28/7168, ttl=64 (reply in 229)
    229 63.292563861   172.16.41.253         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f03, seq=28/7168, ttl=64 (request in 228)
    230 63.900460682   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=51/13056, ttl=64 (reply in 231)
    231 63.900592540   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=51/13056, ttl=64 (request in 230)
    232 64.156630618   Cisco_d4:1c:04        Spanning-tree-(for-bridges)_00 STP      60     Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004
    233 64.252449887   172.16.40.1           172.16.41.1           ICMP     98     Echo (ping) request  id=0x5f15, seq=14/3584, ttl=64 (reply in 234)
    234 64.252710809   172.16.41.1           172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f15, seq=14/3584, ttl=63 (request in 233)
    235 64.316446451   172.16.40.1           172.16.41.253         ICMP     98     Echo (ping) request  id=0x5f03, seq=29/7424, ttl=64 (reply in 236)
    236 64.316571674   172.16.41.253         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f03, seq=29/7424, ttl=64 (request in 235)
    237 64.928455588   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=52/13312, ttl=64 (reply in 238)
    238 64.928588912   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=52/13312, ttl=64 (request in 237)
    239 65.276460703   172.16.40.1           172.16.41.1           ICMP     98     Echo (ping) request  id=0x5f15, seq=15/3840, ttl=64 (reply in 240)
    240 65.276703607   172.16.41.1           172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f15, seq=15/3840, ttl=63 (request in 239)
    241 65.344451343   172.16.40.1           172.16.41.253         ICMP     98     Echo (ping) request  id=0x5f03, seq=30/7680, ttl=64 (reply in 242)
    242 65.344581804   172.16.41.253         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f03, seq=30/7680, ttl=64 (request in 241)
    243 65.691478211   Cisco_d4:1c:04        Cisco_d4:1c:04        LOOP     60     Reply
    244 65.948461573   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=53/13568, ttl=64 (reply in 245)
    245 65.948593361   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=53/13568, ttl=64 (request in 244)
    246 66.161408692   Cisco_d4:1c:04        Spanning-tree-(for-bridges)_00 STP      60     Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004
    247 66.300458460   172.16.40.1           172.16.41.1           ICMP     98     Echo (ping) request  id=0x5f15, seq=16/4096, ttl=64 (reply in 248)
    248 66.300756397   172.16.41.1           172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f15, seq=16/4096, ttl=63 (request in 247)
    249 66.364457678   172.16.40.1           172.16.41.253         ICMP     98     Echo (ping) request  id=0x5f03, seq=31/7936, ttl=64 (reply in 250)
    250 66.364587021   172.16.41.253         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f03, seq=31/7936, ttl=64 (request in 249)
    251 66.972467431   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=54/13824, ttl=64 (reply in 252)
    252 66.972633859   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=54/13824, ttl=64 (request in 251)
    253 67.328477041   172.16.40.1           172.16.41.1           ICMP     98     Echo (ping) request  id=0x5f15, seq=17/4352, ttl=64 (reply in 254)
    254 67.328726579   172.16.41.1           172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f15, seq=17/4352, ttl=63 (request in 253)
    255 67.388469821   172.16.40.1           172.16.41.253         ICMP     98     Echo (ping) request  id=0x5f03, seq=32/8192, ttl=64 (reply in 256)
    256 67.388603285   172.16.41.253         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f03, seq=32/8192, ttl=64 (request in 255)
    257 67.996466654   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=55/14080, ttl=64 (reply in 258)
    258 67.996603889   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=55/14080, ttl=64 (request in 257)
