      No    Time           Source                   Destination           Protocol Length   Info
     42 2.367363845    13.225.245.48         10.0.2.4              TCP      60     [TCP Dup ACK 40#1] [TCP ACKed unseen segment] 443 → 33076 [ACK] Seq=1 Ack=2 Win=31831 Len=0
     43 2.815366795    10.0.2.4              13.225.245.48         TCP      54     33020 → 443 [ACK] Seq=1 Ack=1 Win=62780 Len=0
     44 2.815766736    13.225.245.48         10.0.2.4              TCP      60     [TCP ACKed unseen segment] 443 → 33020 [ACK] Seq=1 Ack=2 Win=32336 Len=0
     45 2.815366795    10.0.2.4              13.225.245.48         TCP      56     [TCP Dup ACK 43#1] 33020 → 443 [ACK] Seq=1 Ack=1 Win=62780 Len=0
     46 2.815766736    13.225.245.48         10.0.2.4              TCP      62     [TCP Dup ACK 44#1] [TCP ACKed unseen segment] 443 → 33020 [ACK] Seq=1 Ack=2 Win=32336 Len=0
     47 4.871286935    10.0.2.4              93.184.220.29         TCP      56     52276 → 80 [ACK] Seq=1 Ack=1 Win=63920 Len=0
     48 4.871842535    93.184.220.29         10.0.2.4              TCP      62     [TCP ACKed unseen segment] 80 → 52276 [ACK] Seq=1 Ack=2 Win=32389 Len=0
     49 4.871286935    10.0.2.4              93.184.220.29         TCP      54     [TCP Dup ACK 47#1] 52276 → 80 [ACK] Seq=1 Ack=1 Win=63920 Len=0
     50 4.871842535    93.184.220.29         10.0.2.4              TCP      60     [TCP Dup ACK 48#1] [TCP ACKed unseen segment] 80 → 52276 [ACK] Seq=1 Ack=2 Win=32389 Len=0
     51 5.055466147    10.0.2.4              54.186.128.121        TCP      56     60116 → 443 [ACK] Seq=1 Ack=1 Win=62780 Len=0
     52 5.055466147    10.0.2.4              54.186.128.121        TCP      54     [TCP Dup ACK 51#1] 60116 → 443 [ACK] Seq=1 Ack=1 Win=62780 Len=0
     53 5.056292603    54.186.128.121        10.0.2.4              TCP      60     [TCP ACKed unseen segment] 443 → 60116 [ACK] Seq=1 Ack=2 Win=32768 Len=0
     54 5.056292603    54.186.128.121        10.0.2.4              TCP      62     [TCP Dup ACK 53#1] [TCP ACKed unseen segment] 443 → 60116 [ACK] Seq=1 Ack=2 Win=32768 Len=0
     55 6.193986195    10.0.2.4              104.17.113.188        UDP      76     42515 → 33434 Len=32
     56 6.194156406    10.0.2.4              104.17.113.188        UDP      76     58126 → 33435 Len=32
     57 6.194276917    10.0.2.4              104.17.113.188        UDP      76     60490 → 33436 Len=32
     58 6.194414252    10.0.2.4              104.17.113.188        UDP      76     35114 → 33437 Len=32
     59 6.194687672    10.0.2.4              104.17.113.188        UDP      76     48524 → 33438 Len=32
     60 6.194719154    10.0.2.1              10.0.2.4              ICMP     72     Time-to-live exceeded (Time to live exceeded in transit)
